age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
33,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,688.8983958646076,297.5893143172734,284.6991154599371,1363.7572649005606,68889.83958646076,29758.931431727346,28469.911545993713,136375.72649005605
33,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1003.1540395135241,351.41786548778197,459.38796018866833,1745.1249432095908,61192.396410324975,21436.4897947547,28022.66557150877,106452.62153578506
34,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1003.7946592851167,351.7247437708319,459.5737859772579,1746.3708396772538,31117.63443783862,10903.467056895788,14246.787365294993,54137.49602999487
34,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,861.0974060812591,325.91893207100577,379.9801536901011,1573.5224679593878,43915.967710144214,16621.865535621295,19378.987838195157,80249.64586592876
34,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1890.7290359592225,512.4258934146156,963.5056739171123,2765.7851027109873,289281.54250176105,78401.1616924362,147416.3681093182,423165.120714781
34,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,689.3376174333118,297.82843066426295,284.8147822227018,1364.7283958139806,68933.76174333118,29782.843066426292,28481.478222270183,136472.83958139806
34,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1003.7946592851167,351.7247437708319,459.5737859772579,1746.3708396772538,61231.474216392126,21455.209370020744,28034.00094461273,106528.62122031249
35,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1004.3329193094974,351.9865763146429,459.72474173704165,1747.4239934091445,31134.320498594418,10911.583865753928,14251.466993848291,54170.143795683485
35,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,861.5588370785032,326.15291764211145,380.1058136953428,1574.4704301286486,43939.50069100366,16633.798799747685,19385.396498462484,80297.99193656107
35,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1891.7466144454288,512.8804126688043,963.7972191727426,2767.728124347449,289437.2320101506,78470.70313832705,147460.9745334296,423462.4030251597
35,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,689.7066248152024,298.03171659981473,284.90878253463376,1365.549183285429,68970.66248152024,29803.17165998147,28490.87825346338,136554.9183285429
35,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1004.3329193094974,351.9865763146429,459.72474173704165,1747.4239934091445,61264.30807787934,21471.181155193215,28043.20924595954,106592.86359795781
36,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1004.7819160512867,352.2040962514697,459.85184132163033,1748.3010558866781,31148.23939758989,10918.326983795561,14255.407080970539,54197.33273248702
