phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,55,Hg,1768.5389448141877,7.672302851408482,1753.725473814276,1783.9832399979282,4577.394915989662,19.85772502717489,4539.054167519303,4617.368385876991,1578.4120399964354,6.8474913886809965,1565.1910922480356,1592.1959951299968,71821.90167001274,2316.8662347514623,17045.4799528212,21118.027840856263,0,7.474239791192718,0.03242486201970721
Pregnant,55,P_nb,1768.488728248964,3.284046517389558,1762.818485359636,1775.4381713180726,4577.2649437032005,8.499885103831796,4562.589020930823,4595.251737529129,1578.367221966621,2.9309948633902745,1573.3065589416628,1584.5695646652168,71801.32207843156,0,17050.17082229927,21118.027840856263,0,7.474027564794723,0.013879112602171057
Pregnant,55,P_cost,1768.4738981729286,2.2274704362097446,1767.0168136282873,1772.33627826142,4577.226559976992,5.765217599601691,4573.455282332037,4587.223308441321,1578.3539861989627,1.9880060688281704,1577.053545631737,1581.8011408418351,71801.32207843156,0,17045.4799528212,21118.027840856263,0,7.473964889587748,0.009413786570458287
Pregnant,55,Es,1766.9820352910936,165.76148053719783,1377.2220453624386,2153.0305349158116,4573.365267812243,429.02971433157086,3564.574705643958,5572.549619782099,1577.0225061421527,147.94128080398994,1229.163691601365,1921.5688344076207,71801.32207843156,0,17045.4799528212,21118.027840856263,0,7.467659944510282,0.7005449652726258
Pregnant,55,E_FnU,1771.4841980739664,75.3079949387405,1652.7532729553282,1901.4588160672386,4585.0179244267365,194.9148104296813,4277.714353531438,4921.422818056382,1581.0406635954264,67.21200359644183,1475.073915010841,1697.042351053925,71801.32207843156,0,17045.4799528212,21118.027840856263,0,7.48668708797062,0.3182683728942211
Pregnant,56,all,1770.0786703570914,183.01611358386057,1363.5583724244677,2175.91966411782,4581.380087983061,473.68876456999203,3529.209905098623,5631.792071834357,1580.123533764327,165.18139771448617,1214.8953599390243,1945.433107795264,71821.90167001274,2316.8662347514623,17039.538012401998,21118.054511339964,254.54834686233406,7.477161150605335,0.7257203257895691
Pregnant,56,Hg,1768.5562336549417,7.672568754761906,1753.7422514494456,1784.0020199198245,4577.4396635774965,19.858413247619044,4539.097591986801,4617.416992733663,1578.4274701991367,6.847728706075533,1565.206066202345,1592.2127561150564,71821.90167001274,2316.8662347514623,17045.4799528212,21118.23011632247,0,7.47424126692869,0.032425675202690685
Pregnant,56,P_nb,1768.506017089718,3.284655811888058,1762.8352573368404,1775.4570026672905,4577.309691291035,8.501462101357335,4562.632430754175,4595.300477491811,1578.3826521693225,2.9315386556404603,1573.3215278462674,1584.5863715489004,71801.32207843156,0,17050.17082229927,21118.23011632247,0,7.47402904256345,0.013881554654405664
Pregnant,56,P_cost,1768.4911878797639,2.228369993941886,1767.0351916178179,1772.3535123009617,4577.271309806448,5.767545866673118,4573.502848893175,4587.267914190723,1578.3694171746372,1.988808919542455,1577.0699478941985,1581.8165221347324,71801.32207843156,0,17045.4799528212,21118.23011632247,0,7.47396637161701,0.009417498098030889
Pregnant,56,Es,1766.9993051075423,165.76567770536647,1377.2332445028549,2153.052923081237,4573.409966160698,429.0405775903603,3564.6036916544485,5572.6075656220255,1577.037919365758,147.94502675529665,1229.173686777396,1921.5888157317331,71801.32207843156,0,17045.4799528212,21118.23011632247,0,7.467661402869416,0.700555993283493
Pregnant,56,E_FnU,1771.501516246325,75.30875473896924,1652.769009219712,1901.4769155508436,4585.0627479316645,194.91677697144982,4277.755082686313,4921.469663778654,1581.056119976436,67.21268171429304,1475.0879595470046,1697.0585047512598,71801.32207843156,0,17045.4799528212,21118.23011632247,0,7.486688568444113,0.31826853549788603
Pregnant,57,all,1770.0929716082392,183.01923493297778,1363.5632699407938,2175.9430980548345,4581.417102986031,473.69684335594246,3529.222581023231,5631.85272437722,1580.136300969737,165.18419128300113,1214.9041526687404,1945.4495526048877,71821.90167001274,2316.8662347514623,17039.538012401998,21118.223526910595,254.61813902070358,7.477160531836125,0.7257127143231018
Pregnant,57,Hg,1768.570525096402,7.672771390540524,1753.7561535135546,1784.017447300265,4577.476653190688,19.858937716693124,4539.13357379979,4617.456922424215,1578.4402252381683,6.847909557480386,1565.2184737240655,1592.2265249738673,71821.90167001274,2316.8662347514623,17045.4799528212,21118.39918004054,0,7.474241829513227,0.03242627198728441
Pregnant,57,P_nb,1768.5203085311784,3.2851200761672312,1762.8491550901776,1775.4724692299155,4577.346680904227,8.502663726550475,4562.668401409872,4595.340508595075,1578.395407208354,2.9319530091553365,1573.3339315206456,1584.6001753776125,71801.32207843156,0,17050.17082229927,21118.39918004054,0,7.474029606846953,0.013883405575202833
Pregnant,57,P_cost,1768.5054795090534,2.2290500347617814,1767.0494386986845,1772.3686324510397,4577.308299905785,5.769305972324611,4573.539723690714,4587.307048696808,1578.3821723813053,1.9894158525257268,1577.0826633416252,1581.8300167920029,71801.32207843156,0,17045.4799528212,21118.39918004054,0,7.47396693719602,0.009420296659634923
Pregnant,57,Es,1767.013580788226,165.76901152862806,1377.2425666330503,2153.071425636954,4573.44691498129,429.04920630939023,3564.627819520836,5572.6554545897625,1577.050660338376,147.94800217565182,1229.1820067313229,1921.6053291688836,71801.32207843156,0,17045.4799528212,21118.39918004054,0,7.4676619515217855,0.7005644742025745
Pregnant,57,E_FnU,1771.515831940592,75.30938125181687,1652.7820452076012,1901.4919096231065,4585.099800316827,194.91839853411426,4277.788822890263,4921.508471965687,1581.0688966609748,67.2132408738325,1475.0995941000906,1697.0718868847198,71801.32207843156,0,17045.4799528212,21118.39918004054,0,7.4866891338775226,0.3182686353298843
Pregnant,58,all,1770.1048763823228,183.02135287834054,1363.5685551416989,2175.961834018095,4581.447915342483,473.7023250968814,3529.23626036675,5631.9012174586,1580.1469286307547,165.1860911878767,1214.912362494703,1945.4619324593812,71821.90167001274,2316.8662347514623,17039.538012401998,21118.364655886544,254.67422730535625,7.477159931521514,0.7257049894443587
Pregnant,58,Hg,1768.5824216061756,7.672942080265249,1753.767722112698,1784.0303004278123,4577.5074441571605,19.859379501863003,4539.163516056396,4617.490189342574,1578.450842812814,6.848061897194138,1565.2287986401366,1592.2379963250255,71821.90167001274,2316.8662347514623,17045.4799528212,21118.540347710048,0,7.474242143747262,0.032426776587978996
Pregnant,58,P_nb,1768.5322050409518,3.2855111086591413,1762.8607200590611,1775.4853553542291,4577.377471870699,8.503675810647188,4562.698334270511,4595.373860916829,1578.4060247829998,2.932302003671445,1573.344253196728,1584.6116761782166,71801.32207843156,0,17050.17082229927,21118.540347710048,0,7.474029922499598,0.013884965321428591
Pregnant,58,P_cost,1768.5173766967139,2.229629165805944,1767.0622602038807,1772.3802683515437,4577.339092626788,5.77080489973304,4573.572908762987,4587.337165145172,1578.3927905609617,1.989932724045875,1577.0941064699953,1581.8404017741973,71801.32207843156,0,17045.4799528212,21118.540347710048,0,7.473967256132415,0.009422681166795932
Pregnant,58,Es,1767.0254640438068,165.77181710223363,1377.2502831239099,2153.0868637130907,4573.477671642794,429.05646779401644,3564.647791614826,5572.695411963292,1577.061266083722,147.95050613586773,1229.1888936602847,1921.6191075735492,71801.32207843156,0,17045.4799528212,21118.540347710048,0,7.467662253725448,0.7005716479449324
Pregnant,58,E_FnU,1771.5277486381967,75.3099029584076,1652.7928934434387,1901.5043873105667,4585.130643534156,194.91974883352557,4277.816900677136,4921.54076715676,1581.0795322531574,67.21370649431917,1475.109276095564,1697.0830231575037,71801.32207843156,0,17045.4799528212,21118.540347710048,0,7.486689450223291,0.3182687126461719
Pregnant,59,all,1770.1150069107368,183.02365488056367,1363.571798978459,2175.9785744987457,4581.474135533672,473.7082832202825,3529.244656179541,5631.944545761459,1580.1559725168977,165.1881506217281,1214.918419406629,1945.4738347457549,71821.90167001274,2316.8662347514623,17039.538012401998,21118.482649252866,254.72973549410156,7.477160001507793,0.7256987329177642
Pregnant,59,Hg,1768.592545178251,7.67308499946398,1753.7775711818779,1784.0412248127418,4577.533646343709,19.859749410377354,4539.1890077648595,4617.518464221214,1578.4598780495546,6.84818945185426,1565.2375888844347,1592.2477462831775,71821.90167001274,2316.8662347514623,17045.4799528212,21118.658379369743,0,7.4742431535874,0.03242719934588304
Pregnant,59,P_nb,1768.5423286130272,3.2858384941109686,1762.870566089239,1775.4963073617591,4577.403674057247,8.504523161228384,4562.723818113324,4595.4022072892585,1578.4150600197404,2.932594193527029,1573.3530407287326,1584.6214507893997,71801.32207843156,0,17050.17082229927,21118.658379369743,0,7.474030933525835,0.013886271281284628
Pregnant,59,P_cost,1768.5275002976944,2.2301073748634854,1767.0721608314789,1772.3911670493494,4577.36529488815,5.7720426172937245,4573.598533916768,4587.365373539494,1578.4018258235,1.9903595232047326,1577.1029427299204,1581.8501288067218,71801.32207843156,0,17045.4799528212,21118.658379369743,0,7.473968267631049,0.009424649461393163
Pregnant,59,Es,1767.0355765072911,165.7741671608298,1377.2569040613253,2153.0999554140412,4573.503845077695,429.06255029861825,3564.664928158724,5572.729296365754,1577.0702914061017,147.95260355124768,1229.1948028133531,1921.63079185026,71801.32207843156,0,17045.4799528212,21118.658379369743,0,7.467663253394448,0.7005776640422322
Pregnant,59,E_FnU,1771.5378893903942,75.31034670338015,1652.802128813683,1901.5150098944835,4585.156890186902,194.92089734992507,4277.840803988356,4921.568260903369,1581.0885828230698,67.21410253445693,1475.1175186166745,1697.0925037597826,71801.32207843156,0,17045.4799528212,21118.658379369743,0,7.486690463100598,0.31826880915937633
Pregnant,60,all,1770.1235152815877,183.02520431118853,1363.5753868842048,2175.9921893781766,4581.496157199404,473.7122935113115,3529.2539425238247,5631.979784272928,1580.1635681598361,165.18954038688486,1214.924327947208,1945.4825844790691,71821.90167001274,2316.8662347514623,17039.538012401998,21118.58117858635,254.77486310344426,7.477160315646376,0.7256923762128288
Pregnant,60,Hg,1768.6010474616687,7.673217312880868,1753.7858193252425,1784.050468352534,4577.555652253731,19.86009186863284,4539.210355900628,4617.542388677147,1578.4674662943899,6.848307540907876,1565.2449503105615,1592.2559960955678,71821.90167001274,2316.8662347514623,17045.4799528212,21118.756939835363,0,7.474244202872555,0.03242760717601812
Pregnant,60,P_nb,1768.550830896445,3.2861415620054277,1762.8788114199126,1775.505576467132,4577.425679967269,8.505307572249338,4562.745158969186,4595.42619791493,1578.4226482645756,2.9328646800859786,1573.360399644547,1584.6297234189415,71801.32207843156,0,17050.17082229927,21118.756939835363,0,7.474031983801414,0.013887487262822016
Pregnant,60,P_cost,1768.536003094597,2.2305562819145837,1767.081358139558,1772.3994891371683,4577.387302127192,5.773204494367159,4573.62233871415,4587.386913060906,1578.4094145266179,1.990760170471435,1577.1111512807415,1581.8575562278986,71801.32207843156,0,17045.4799528212,21118.756939835363,0,7.473969320369113,0.009426502592661376
