phase,age_yrs,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Hg,sd_Hg,P_nb,GERcalf_0to6m,mass,mass_sd,pctbodywt,pctbodywt_sd
Pregnant,29,all,2084.48672523289,254.5270815342513,1589.2151345118357,2590.537041662108,5395.14211236748,658.7759757357093,4113.262701089457,6704.919401948986,1860.8146415570682,229.17722497723722,1418.7138785127497,2318.895814831433,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,20987.08452621889,227.57312230095204,8.856503069560617,1.0033705428365787
Pregnant,29,Hg,2081.03393913562,7.322493504353491,2066.8150852961303,2095.474164572217,5386.205489527487,18.95233612891491,5349.40375017822,5423.580190657503,1857.312237768099,6.535288320315487,1844.621982820076,1870.2000657439664,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,20987.241521833486,0,8.849720606854868,0.03113933917192824
Pregnant,29,GER_calf,2080.96889700094,0,2080.96889700094,2080.96889700094,5386.037145178903,0,5386.037145178903,5386.037145178903,1857.2541879927253,0,1857.2541879927253,1857.2541879927253,71801.32207843156,0,17045.4799528212,100760.936763343,20987.241521833486,0,8.849444011308409,0
Pregnant,29,P_nb,2080.9837225703964,2.3938753216721755,2076.31715596749,2085.686228643044,5386.075517241025,6.1959125972691576,5373.997344857033,5398.246709429055,1857.2674197382848,2.1365215852652266,1853.1025327093216,1861.4643825617432,71801.32207843156,0,17050.17082229927,100760.936763343,20987.241521833486,0,8.849507057924352,0.01018009719401455
Pregnant,29,P_cost,2080.968706213578,0.2765559778817302,2080.4188533298307,2081.5114789432923,5386.03665137632,0.7157919427527089,5384.6135027360315,5387.441474912052,1857.2540177159724,0.24682480784576108,1856.763276805528,1857.7384396248456,71801.32207843156,0,17045.4799528212,100760.936763343,20987.241521833486,0,8.849443199973805,0.0011760707455955185
Pregnant,29,Es,2080.805759357072,236.4763058852909,1610.639900983738,2544.917549820851,5385.614906571246,612.0563211148707,4168.715037840264,6586.845423065733,1857.1085884728434,211.053903832714,1437.4879440828497,2271.326007953701,71801.32207843156,0,17045.4799528212,100760.936763343,20987.241521833486,0,8.848750258774373,1.005629556476729
Pregnant,29,E_FnU,2084.5113879948162,88.58223193988606,1944.662409981926,2237.629152142762,5395.205945398347,229.27165913852858,5033.243884659101,5791.510746722443,1860.4158432408094,79.05919280638918,1735.6013395376215,1997.072671283601,71801.32207843156,0,17045.4799528212,100760.936763343,20987.241521833486,0,8.864508664968563,0.37670121022880576
Pregnant,30,all,2086.0385850393163,254.96526415112615,1589.8115501530365,2592.979053960848,5399.158690689995,659.9100954499736,4114.806365101976,6711.239904369255,1862.2000295667196,229.56836652813863,1419.2418554878645,2321.0142693521393,71821.90167001274,2316.8662347514623,17039.538012401998,100761.62710366643,21008.786263616254,231.1188613740724,8.853799316635223,1.002842635249728
Pregnant,30,Hg,2082.58329095258,7.322493504353492,2068.36443711309,2097.0235163891775,5390.2155765831485,18.95233612891493,5353.41383723388,5427.590277713164,1858.6950264079821,6.535288320315494,1846.0047714599586,1871.58285438385,71821.90167001274,2316.8662347514623,17045.4799528212,100760.936763343,21008.94570532589,0,8.847159931194417,0.031107169355284486
Pregnant,30,GER_calf,2082.5182488179003,0,2082.5182488179003,2082.5182488179003,5390.047232234565,0,5390.047232234565,5390.047232234565,1858.6369766326086,0,1858.6369766326086,1858.6369766326086,71801.32207843156,0,17045.4799528212,100760.936763343,21008.94570532589,0,8.846883621396733,0
