Lifestage,age_yrs,mean_GER,GER_sd,GER_foraging,sd_foraging,FR_foraging,FR_sd_foraging,pctbodywt,pctbodywt_sd
Pregnant only,30,1804.5421834027436,205.22049763717993,4670.579768807101,531.1589350609363,1610.9060133604462,185.03576268986453,7.662153954214531,0.8237680521572243
Lactating (birth to 9.6 mths),8,1957.0547110032976,144.9511424183323,4818.630506924085,356.8965103241291,1661.9459408985915,125.61857708217536,11.05621872167034,0.751880918020453
Lactating (birth to 9.6 mths),9,2011.4258806838063,150.51751295604248,4952.502378490381,370.6019436648777,1708.1182736930048,130.38952380722426,10.804685130989562,0.7479640597578531
Lactating (birth to 9.6 mths),10,2058.034259057472,155.29175881304786,5067.260822721339,382.3570195985128,1747.6983779762677,134.4816054707864,10.606210802558753,0.7459956857883535
Lactating (birth to 9.6 mths),11,2097.7801292092013,159.30040349703918,5165.12250301089,392.2270439044746,1781.4507522430174,137.91852352073096,10.44788888936365,0.7449278090403921
Lactating (birth to 9.6 mths),12,2131.5716434930846,162.69987577151161,5248.32345834852,400.5971731180915,1810.146648108018,140.83334751350597,10.320649208769064,0.7443523485069184
Lactating (birth to 9.6 mths),13,2160.2081258743133,165.56033092842938,5318.831772110704,407.6401425380656,1834.4648532491544,143.28636605996329,10.217666455910848,0.7438284640503131
Lactating (birth to 9.6 mths),14,2184.4286422098444,167.99201868954358,5378.467161071298,413.6274073616494,1855.0330086110175,145.371540900058,10.133900868833257,0.7432130217546165
Lactating (birth to 9.6 mths),15,2204.8709145859293,170.04876658489732,5428.799814904852,418.6915009191169,1872.3926666422828,147.13518443978256,10.065409503897568,0.7419241202119562
Lactating (birth to 9.6 mths),16,2222.105689765438,171.83411625560956,5471.235017657758,423.08736187305544,1887.0285296035056,148.66528046748618,10.00926508355824,0.7406542946195039
Lactating (birth to 9.6 mths),17,2236.611625706183,173.36736416132894,5506.951313713544,426.8625016745326,1899.3470615562833,149.97884131629857,9.963044960576871,0.7388832944454619
Lactating (birth to 9.6 mths),18,2248.810951776653,174.69601648242065,5536.988309836634,430.13388932226263,1909.706825033647,151.11653066450438,9.924931651442488,0.7370472798077786
Lactating (birth to 9.6 mths),19,2259.0688221000955,175.8745989883347,5562.24508298595,433.0357773410258,1918.4179184446716,152.12479716375034,9.893455492884046,0.7351100352272519
Lactating (birth to 9.6 mths),20,2267.676592167267,176.87176126329803,5583.439004243774,435.4909752113136,1925.7277348172795,152.9777900467981,9.86738620954792,0.7331628648978764
Lactating (birth to 9.6 mths),21,2274.900880625145,177.72896302488908,5601.226538009811,437.6015644226261,1931.862695502708,153.71082507831795,9.845794208466009,0.7313747477564303
Lactating (birth to 9.6 mths),22,2280.9575482966193,178.48076973362691,5616.1391735370535,439.45265152901413,1937.0061100717685,154.35322456375536,9.827859656735416,0.7296077868268561
Lactating (birth to 9.6 mths),23,2286.03658088475,179.11058823413606,5628.644690749847,441.00338111430136,1941.3193076053528,154.89149983857018,9.8129788397644,0.7279669966558721
