age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_perday_sd
26,Pregnant,396,all,493724.7245789657,82946.4747216768,1246.7796075226406,209.4607947517091
26,Pregnant,396,Rs,462932.8551444338,4535.4000492090745,1169.022361475843,11.453030427295642
26,Pregnant,396,Vt,464191.2856802812,5839.106714219694,1172.2002163643465,14.745218975302258
26,Pregnant,396,pctO2,490834.88701959566,79112.5496507814,1239.482037928272,199.7791657848015
27,Pregnant,396,all,494804.68896462076,83199.82875401014,1249.506790314699,210.10057766164178
27,Pregnant,396,Rs,463887.4065538235,4544.751886005729,1171.4328448328877,11.476646176782143
27,Pregnant,396,Vt,465175.3966104692,5899.343776075006,1174.6853449759324,14.897332767866176
27,Pregnant,396,pctO2,491846.97144604236,79275.67697028436,1242.037806681925,200.19110346031403
28,Pregnant,396,all,495715.43174638326,83421.60375164443,1251.8066458242001,210.66061553445564
28,Pregnant,396,Rs,464685.83786091255,4552.574198354528,1173.449085507355,11.496399490794262
28,Pregnant,396,Vt,466001.7797867558,5956.037999609965,1176.7721711786762,15.040499999015061
28,Pregnant,396,pctO2,492693.5260512144,79412.12426652371,1244.1755708363999,200.53566733970632
29,Pregnant,396,all,496480.50935926364,83611.73565066287,1253.7386599981405,211.140746592583
29,Pregnant,396,Rs,465353.4815330802,4559.115171003054,1175.1350543764652,11.51291709849256
29,Pregnant,396,Vt,466694.32937998127,6006.654170519406,1178.5210337878316,15.168318612422743
29,Pregnant,396,pctO2,493401.41014878085,79526.22071177798,1245.9631569413657,200.823789676207
30,Pregnant,396,all,497117.9771480845,83767.95629061398,1255.3484271416276,211.5352431581161
30,Pregnant,396,Rs,465911.5440967478,4564.5825664376,1176.5443032746157,11.526723652620202
30,Pregnant,396,Vt,467272.3230792052,6047.630425359293,1179.9806138363767,15.271794003432559
30,Pregnant,396,pctO2,493993.10843146633,79621.5903788599,1247.4573445239048,201.06462216883813
31,Pregnant,396,all,497663.8547952364,83915.5327820501,1256.7269060485767,211.90791106578308
31,Pregnant,396,Rs,466378.2893898081,4569.155317327046,1177.7229530045659,11.538271003351126
31,Pregnant,396,Vt,467761.2774524546,6092.416515823444,1181.2153471021581,15.384890191473342
31,Pregnant,396,pctO2,494487.985540836,79701.35445211835,1248.7070341940303,201.26604659625846
32,Pregnant,396,all,498114.8677438343,84032.12130483508,1257.8658276359452,212.2023265273613
32,Pregnant,396,Rs,466768.2347957638,4572.975651947297,1178.707663625666,11.547918312998224
32,Pregnant,396,Vt,468167.58103773417,6125.953675226729,1182.2413662569045,15.469579987946284
32,Pregnant,396,pctO2,494901.43385661044,79767.99386849796,1249.751095597501,201.43432795075242
33,Pregnant,396,all,498496.2560950213,84135.4112675177,1258.828929532882,212.46315976645883
33,Pregnant,396,Rs,467094.19188237423,4576.16908652474,1179.5307875817532,11.555982541729142
33,Pregnant,396,Vt,468509.12136546685,6157.717199284883,1183.103841831987,15.549790907285058
33,Pregnant,396,pctO2,495247.03712931345,79823.69805089055,1250.6238311346299,201.57499507800645
34,Pregnant,396,all,498816.3037374015,84223.5058899391,1259.6371306500039,212.68562093418964
34,Pregnant,396,Rs,467366.581149181,4578.837711748355,1180.2186392656085,11.562721494314028
34,Pregnant,396,Vt,468795.11500736943,6185.480689367578,1183.8260479984076,15.619900730726206
34,Pregnant,396,pctO2,495535.8439260501,79870.24780244766,1251.3531412273992,201.6925449556759
35,Pregnant,396,all,499085.2955141611,84299.1805508334,1260.3164028135382,212.87671856271058
35,Pregnant,396,Rs,467594.20029434527,4581.067719557712,1180.7934350867304,11.568352827165938
