age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,MR_perday,MR_perday_sd,MR_quant025,MR_quant975,Es,Es_sd,Es_quant025,Es_quant975
22,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,936.3294833163369,239.44589140525224,467.19295690995347,1411.3766772425902,85205.98298178666,21789.576117877954,42514.55907880577,128435.27762907572
23,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,809.9032035814367,207.39314494908163,403.71729914763273,1222.0364587188674,24297.096107443103,6221.794348472448,12111.518974428982,36661.093761566015
23,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1358.5472234526706,347.86552874871774,677.5200719594501,2049.4613480111,209216.27241171125,53571.29142730253,104338.09108175531,315617.04759370943
23,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,653.1496744852213,167.2372554351413,325.8693723519352,986.6394567139226,58783.47070366992,15051.352989162717,29328.243511674173,88797.55110425304
23,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,940.5324290202923,240.838332182,468.90331117655745,1418.5678667183433,85588.4510408466,21916.288228562,42670.201317066734,129089.67587136925
24,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,812.953402716472,208.43261762035516,404.9231312367282,1227.320514338858,24388.602081494162,6252.978528610654,12147.693937101843,36819.61543016574
24,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1363.6636861123354,349.60909657111824,679.5437255736815,2058.3543482182317,210004.20766129968,53839.800871952204,104649.73373834696,316986.56962560775
24,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,655.6095192278955,168.07548547995674,326.8427116113472,990.9223763839897,59004.85673051059,15126.793693196107,29415.844045021247,89183.01387455908
24,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,944.0745945882543,242.0454453649568,470.3039250548473,1424.7188496523067,85910.78810753115,22026.13552821107,42797.657179991096,129649.41531835991
25,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,815.5107483010685,209.30550290242346,405.93249194909293,1231.7543045163313,24465.322449032054,6279.1650870727035,12177.974758472788,36952.629135489944
25,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1367.9534267524955,351.07323781207924,681.2376567923953,2065.8165030873038,210664.8277198843,54065.27862306021,104910.5991460289,318135.74147544475
25,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,657.671900339581,168.77937964305204,327.6574607090483,994.5162004451544,59190.4710305623,15190.144167874683,29489.171463814342,89506.4580400639
25,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,947.0444142868646,243.0591048808033,471.4763314679064,1429.8801459477447,86181.04170010467,22118.3785441531,42904.34616357948,130119.09328124477
26,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,817.6934269912126,210.11459327055667,406.7159977528277,1235.7074768102145,24530.80280973638,6303.4377981167,12201.47993258483,37071.22430430643
26,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1371.6146939217163,352.4303786489555,682.5525599767246,2072.4764941772423,211228.6628639443,54274.27831193915,105113.09423641559,319161.3801032953
26,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,659.4321297705596,169.4318337412702,328.289909132029,997.7240634019939,59348.891679350374,15248.865036714318,29546.09182188261,89795.16570617947
26,Juvenile/Adult,southbound,91,0.7199973303439192,0.0020044912103815583,949.5791371025024,243.99868288635122,472.3864256997455,1434.4856585147613,86411.70147632773,22203.880142657963,42987.164738676845,130538.1949248433
27,Juvenile/Adult,calving grounds,30,0.6199981687779041,0.002004567699580897,819.514096029319,210.78280905707612,407.3777208837798,1238.9872986533562,24585.42288087957,6323.484271712284,12221.331626513393,37169.618959600695
27,Juvenile/Adult,foraging,154,1.0399956820580856,0.0020042961433952506,1374.6687191476967,353.55122057165283,683.6630830275577,2078.001403620345,211698.98274874527,54446.88796803454,105284.11478624388,320012.21615753317
27,Juvenile/Adult,northbound,90,0.49999895363010943,3.005712532522517e-4,660.9004151713516,169.97068553668808,328.8240532807517,1000.3851642556031,59481.03736542164,15297.361698301927,29594.16479526765,90034.66478300426
