age_yrs,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
17,19057.66679204026,160.54495567417243,16105.598216293016,22550.850641548357,18745.957258494782,19374.3166178905,19600.512805434784,18754.13533304344
17.5,19150.23698551867,162.06849745178118,16175.705102525364,22671.769581788885,18835.57522694413,19469.897693050672,19695.71980440661,18845.231161050317
18,19235.108619679897,164.60950728680126,16239.9406291814,22782.700008811094,18915.527874845397,19559.795870088376,19783.00895529522,18928.751044694258
18.5,19312.89854776868,167.75846892522236,16298.782223353608,22884.430813424147,18987.224275839882,19643.81736352618,19863.014682033758,19005.30201259837
19,19384.1694975783,170.4856677048876,16352.665000553368,22977.682320933374,19053.218043996498,19720.48543842088,19936.315741373422,19075.437829990373
19.5,19449.46123202084,173.5043109938272,16402.003567019103,23063.149988671295,19112.6701426274,19791.752584974784,20003.467271043603,19139.689662978446
20,19509.264751435094,176.86173522014784,16447.174884641878,23141.466741303262,19165.98028962226,19858.203800801646,20064.974257228223,19198.54069173899
20.5,19564.027438494617,180.15855482525967,16488.522240828017,23213.209573033313,19214.367862380335,19919.49524786229,20121.296826023397,19252.431173481717
21,19614.163674665208,183.2122725693365,16526.36287230804,23278.91411248572,19258.599783242455,19975.67954217753,20172.861162298206,19301.768889818817
21.5,19660.06516209194,186.67640728447077,16560.9953088697,23339.08890100832,19297.805105292085,20028.44364943239,20220.070125594382,19346.939304255306
22,19702.079708881447,190.13030411803246,16592.68529442717,23394.184376330097,19333.144464300425,20077.301737362202,20263.281431120315,19388.284685358092
22.5,19740.532680739787,193.63683182994924,16621.68063623498,23444.62322064911,19364.821803628794,20122.703821818228,20302.829712425726,19426.125216733646
23,19775.715279992397,196.6398533343209,16648.203528418868,23490.783051947263,19394.20221788515,20163.83823529112,20339.01446655666,19460.74746272796
23.5,19807.914372822215,200.1509052529922,16672.47094671502,23533.039048679373,19419.61923815561,20202.99773731937,20372.13073090429,19492.433720606277
