phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,29,N/A,all,1311.5925533298614,156.41253721366232,961.0616958472086,1659.496005659145,1311.5925533298614,156.41253721366232,961.0616958472086,1659.496005659145,451.8480278476355,49.838390394312654,339.5485988208987,560.647302259327,365,20023.511824942427,227.3211799390117,2.2551447040866854,0.23434916692421234
2,30,N/A,all,1312.9346967011288,156.6306650331785,961.7805118690653,1661.2105766337427,1312.9346967011288,156.6306650331785,961.7805118690653,1661.2105766337427,452.3100835911325,49.908140701450186,339.8568431601586,561.2248736528704,365,20044.612451444336,230.87078840318486,2.255056394755765,0.23423241826862917
2,31,N/A,all,1314.0605408710228,156.82494708919646,962.490617644114,1662.6395490924367,1314.0605408710228,156.82494708919646,962.490617644114,1662.6395490924367,452.6975980499205,49.97015783203032,340.06653710898524,561.7062653693002,365,20062.250395216146,234.09916428937595,2.254987550189363,0.23413619759157686
2,1,N/A,P_cost,,,,,,,,,,,,,0,6072.85586571626,0,,
2,2,N/A,P_cost,523.8663085727427,4.324839211735819,515.2937827473479,532.3858861078927,523.8663085727427,4.324839211735819,515.2937827473479,532.3858861078927,180.6435546802561,1.4913238661157995,177.68751129218896,183.5813400372044,365,7675.179520625737,0,2.35360689863745,0.019430475366838274
2,3,N/A,P_cost,623.1723994194115,3.789536922480536,615.667444632082,630.6548911814166,623.1723994194115,3.789536922480536,615.667444632082,630.6548911814166,214.88703428255567,1.3067368698208746,212.29911883864898,217.46720385566087,365,9210.791417666447,0,2.3329920800334145,0.014187020534571352
2,4,N/A,P_cost,715.0802722776242,3.517575469031633,708.1096059345648,722.0253464430034,715.0802722776242,3.517575469031633,708.1096059345648,722.0253464430034,246.57940423366352,1.21295705828677,244.1757261843327,248.97425739413916,365,10639.339994278627,0,2.3176193670496774,0.011400679543458952
2,5,N/A,P_cost,798.3282042108966,3.358535094590217,791.6946772782806,804.997987448315,798.3282042108966,3.358535094590217,791.6946772782806,804.997987448315,275.2855876589299,1.1581155498586957,272.9981645787175,277.5855129132121,365,11939.114939596924,0,2.3057453509047448,0.009700179248779348
2,6,N/A,P_cost,872.4889633158025,3.0970030745283,866.4199720102683,878.6273442639144,872.4889633158025,3.0970030745283,866.4199720102683,878.6273442639144,300.85826321234566,1.067932094664931,298.7655075897477,302.9749462979015,365,13101.81252962314,0,2.296310243579707,0.008151025610008859
2,7,N/A,P_cost,937.7127299654877,2.764993808489566,932.3794957337813,943.3438553914724,937.7127299654877,2.764993808489566,932.3794957337813,943.3438553914724,323.34921722947854,0.9534461408584709,321.51017094268315,325.2909846177491,365,14128.199527463556,0,2.288679577329905,0.006748532528897855
