age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday,Lifestage_f
20,Pregnant,396,Vt,452523.36699672614,2924.5801469909993,1142.7357752442579,7.385303401492423,Pregnant
20,Pregnant,396,pctO2,452449.3975337974,68924.65218448872,1142.5489836712056,174.05215198103213,Pregnant
21,Pregnant,396,all,456474.0831659083,72353.526599333,1152.7123312270412,182.7109257558914,Pregnant
21,Pregnant,396,Rs,455364.7690523754,393.42106247783164,1149.911032960544,0.9934875315096758,Pregnant
21,Pregnant,396,Vt,455361.4205591904,3035.9417302213383,1149.9025771696727,7.666519520760955,Pregnant
21,Pregnant,396,pctO2,455287.09154664783,69356.93715139954,1149.7148776430502,175.14378068535237,Pregnant
22,Pregnant,396,all,458906.3551020507,72826.86236384684,1158.8544320758856,183.90621809052232,Pregnant
22,Pregnant,396,Rs,457754.20571679686,395.4854617795088,1155.9449639313052,0.9987006610593656,Pregnant
22,Pregnant,396,Vt,457750.7352358487,3144.976996487463,1155.936200090527,7.941861102241068,Pregnant
22,Pregnant,396,pctO2,457676.1206137038,69720.873977049,1155.7477793275348,176.06281307335607,Pregnant
23,Pregnant,396,all,460966.2691663757,73250.37521928703,1164.0562352686254,184.97569499819957,Pregnant
23,Pregnant,396,Rs,459768.32807397685,397.22560113937,1161.0311314999415,1.0030949523721464,Pregnant
23,Pregnant,396,Vt,459764.7274457929,3261.2973312529525,1161.0220390045274,8.23559932134584,Pregnant
23,Pregnant,396,pctO2,459689.89939577307,70027.6464092529,1160.8330792822553,176.83749093245683,Pregnant
24,Pregnant,396,all,462702.3269411492,73617.52086795827,1168.4402195483565,185.9028304746421,Pregnant
24,Pregnant,396,Rs,461461.50398149656,398.688452703149,1165.3068282361023,1.006789021977649,Pregnant
24,Pregnant,396,Vt,461457.7815691538,3370.167220129952,1165.2974282049338,8.510523283156445,Pregnant
24,Pregnant,396,pctO2,461382.78647620254,70285.53525570118,1165.1080466570772,177.4887253931848,Pregnant
25,Pregnant,396,all,464157.8711483319,73925.8272531324,1172.1158362331614,186.68138195235454,Pregnant
25,Pregnant,396,Rs,462880.8961607297,399.91476360196714,1168.8911519210346,1.009885766671634,Pregnant
25,Pregnant,396,Vt,462877.07108079555,3461.9775724319206,1168.8814926282716,8.742367607151314,Pregnant
