age_yrs,mean_masschange,sd_masschange,sex,mean_P,sd_P,p_lipid,p_protein,mean_P_perday,sd_P_perday,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
16,257.7010224124659,0.564907166206477,Female,4341.594280283109,176.61924951282822,0.35998907659614787,0.10738798806596893,11.89477885009071,0.48388835482966636,18846.663912909844,158.0134117934397,15945.625472232856,22275.51420470313,18539.863687008237,19158.31470426404,19383.499638004098,18546.49309676893
17,216.99485088069224,2.562824782964894,Female,3655.8080307751693,154.8165220597883,0.35998907659614787,0.10738798806596893,10.015912413082656,0.4241548549583241,19057.66679204026,160.54495567417243,16105.598216293016,22550.850641548357,18745.957258494785,19374.3166178905,19600.512805434784,18754.13533304344
18,182.4667414968732,4.114775052396116,Female,3074.1045229174,143.08963322880942,0.35998907659614787,0.10738798806596893,8.42220417237644,0.39202639240769704,19235.108619679897,164.60950728680126,16239.9406291814,22782.700008811094,18915.527874845397,19559.795870088376,19783.00895529522,18928.751044694254
19,153.26427013096122,5.94876891637771,Female,2582.1251487967083,145.4014059510555,0.35998907659614787,0.10738798806596893,7.074315476155365,0.39836001630426165,19384.1694975783,170.4856677048876,16352.665000553368,22977.682320933374,19053.218043996498,19720.48543842088,19936.315741373422,19075.437829990373
20,128.61238291580614,6.454853091954603,Female,2166.8066865917563,140.21895866939823,0.35998907659614787,0.10738798806596893,5.936456675593853,0.38416153060109104,19509.264751435097,176.86173522014784,16447.174884641878,23141.466741303266,19165.98028962226,19858.20380080165,20064.974257228223,19198.54069173899
21,107.84095685011089,6.4290074635934165,Female,1816.862064040953,131.3487453664787,0.35998907659614787,0.10738798806596893,4.977704285043707,0.359859576346517,19614.163674665208,183.2122725693365,16526.36287230804,23278.91411248572,19258.599783242455,19975.67954217753,20172.861162298206,19301.768889818817
22,90.37021459563839,7.00351387833712,Female,1522.5274638297299,133.47322123298335,0.35998907659614787,0.10738798806596893,4.171308120081452,0.3656800581725571,19702.079708881447,190.13030411803248,16592.68529442717,23394.184376330097,19333.144464300425,20077.3017373622,20263.281431120315,19388.284685358092
23,75.68593671347797,6.589984153308459,Female,1275.1341209314326,122.73231375338321,0.35998907659614787,0.10738798806596893,3.4935181395381716,0.3362529143928307,19775.715279992397,196.6398533343209,16648.203528418868,23490.783051947263,19394.20221788515,20163.83823529112,20339.01446655666,19460.74746272796
24,63.36303034467897,6.724537865196005,Female,1067.5256488110326,121.49702160526878,0.35998907659614787,0.10738798806596893,2.924727804961733,0.3328685523432022,19837.37016881875,203.2823139490876,16694.666265315867,23571.702550309463,19443.02702608914,20238.6620672434,20402.42555728175,19521.420374139976
25,53.02177087233159,5.786827961570273,Female,893.299059820927,104.18699702959942,0.35998907659614787,0.10738798806596893,2.447394684440896,0.28544382747835456,19888.963688312964,208.99851000444897,16733.531727968344,23639.44214443262,19483.582431789895,20301.591069510196,20455.48868670671,19572.192163649204
26,44.356269968986446,5.275762097695,Female,747.3061249546721,94.05913198707141,0.35998907659614787,0.10738798806596893,2.0474140409717045,0.25769625201937374,19932.12815085348,214.2098780790039,16766.036693877908,23696.133029412784,19516.686213663877,20355.092545347656,20499.882662632368,19614.669145794836
27,37.097700847972625,4.822449227366322,Female,625.0165333713464,85.23462272065073,0.35998907659614787,0.10738798806596893,1.712374064031086,0.2335195143031527,19968.23192387259,218.9734662543765,16793.21688775742,23743.563557445646,19543.595971893737,20400.64737776046,20537.014829602627,19650.197894021072
