Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Pregnant,27,2080.4159838048563,253.3810518859161,1587.6715931508052,2584.1380453859388,5384.606075730217,655.8097813517828,4109.267652860908,1857.180579140461,228.15422063418083,1417.1129809203417,2313.231511225753,8.863621071507863,1.0044224784824831
Pregnant,28,2082.6274204939114,254.0147127502306,1588.4815462997913,2587.6375413252035,5390.329794219535,657.4498447653027,4111.364002187695,1859.1547914164032,228.71979050414987,1417.9626327660694,2316.354702468632,8.859715760033959,1.0039019363724604
Pregnant,29,2084.48672523289,254.5270815342513,1589.2151345118357,2590.537041662108,5395.14211236748,658.7759757357093,4113.262701089457,1860.814641557068,229.1772249772372,1418.7138785127495,2318.895814831433,8.856503069560617,1.003370542836579
Pregnant,30,2086.0385850393163,254.96526415112615,1589.8115501530365,2592.979053960848,5399.158690689995,659.9100954499736,4114.806365101976,1862.2000295667196,229.56836652813865,1419.2418554878643,2321.0142693521393,8.853799316635223,1.002842635249728
Lactating,8,1228.6828897343062,147.5815718198791,941.8449434521912,1520.8780012703216,3768.649199605225,452.6661656660158,2888.85213747941,1299.8273414944365,157.51272810132082,997.5620210134762,1614.875801948683,8.639640796393934,0.9418244426023856
Lactating,9,1272.3093169750723,153.7976790163707,973.3050164166588,1577.3867458108086,3902.4613503857263,471.7323768149185,2985.3473192611805,1345.980091338229,164.1308955598976,1031.0472584897166,1674.025289535033,8.506962486462804,0.940361549532974
Lactating,10,1309.6865761941383,159.07183663970787,1000.5184543147355,1625.3199493022814,4017.105884965215,487.9094149033057,3068.8171077720885,1385.521783883136,169.7469684640587,1059.7080503205002,1724.6030046706865,8.401808080171126,0.9404092240052632
Lactating,11,1341.4249929479786,163.35457696092996,1023.9407925670498,1665.3412096366826,4114.454810302624,501.04555118268433,3140.6587335039767,1419.0980563115734,174.3101287476853,1084.6118611691363,1767.1784621779298,8.316818878475221,0.9402030488105384
Lactating,12,1368.4086965964111,166.96054197409114,1043.7123988424316,1699.3776556433158,4197.2199517452955,512.1058640381788,3201.302735945274,1447.6442794988704,178.15272683833604,1105.6414032981097,1803.3087798731813,8.248353479783985,0.9402738630842228
Lactating,13,1391.2641716099772,169.9578624626157,1060.602780068736,1728.0820036059308,4267.322879307913,521.299326040796,3253.10936743772,1471.8232116027316,181.34758632921117,1123.7023739530753,1833.8034019970105,8.192729772965018,0.9400319808499203
